Resultat pour le fichier generateurs/file.gz :
f6e5ad2614a3ee56ba33e6c26da606309b0e28a0784f67e4731b4c52cfcf2fd1
Ratio de detection : 1/55

Nom Antivirus             Statut     Complement
---------------------     ---------- -----------------------

VBA32                     Dangereux  suspected of GZIP.MailBomb
Qihoo-360                 Normal
Avast                     Normal
Ad-Aware                  Normal
Bkav                      Normal
Antiy-AVL                 Normal
Ikarus                    Normal
Kingsoft                  Normal
AegisLab                  Normal
Baidu-International       Normal
AhnLab-V3                 Normal
Panda                     Normal
Rising                    Normal
nProtect                  Normal
K7AntiVirus               Normal
TrendMicro-HouseCall      Normal
Comodo                    Normal
Emsisoft                  Normal
CAT-QuickHeal             Normal
K7GW                      Normal
SUPERAntiSpyware          Normal
DrWeb                     Normal
Baidu                     Normal
TrendMicro                Normal
ViRobot                   Normal
Microsoft                 Normal
Kaspersky                 Normal
Tencent                   Normal
MicroWorld-eScan          Normal
Fortinet                  Normal
Zoner                     Normal
TotalDefense              Normal
Arcabit                   Normal
Jiangmin                  Normal
Cyren                     Normal
McAfee                    Normal
NANO-Antivirus            Normal
Alibaba                   Normal
ClamAV                    Normal
F-Secure                  Normal
VIPRE                     Normal
Yandex                    Normal
Avira                     Normal
F-Prot                    Normal
AVG                       Normal
Zillya                    Normal
Sophos                    Normal
GData                     Normal
Symantec                  Normal
AVware                    Normal
Malwarebytes              Normal
TheHacker                 Normal
ESET-NOD32                Normal
BitDefender               Normal
CMC                       Normal
