Resultat pour le fichier generateurs/file_315Mo.gz :
373f413353a5070d582c865ec8270ecdceb8edc144859f4ba84daa73145cd9cf
Ratio de detection : 1/57

Nom Antivirus             Statut     Complement
---------------------     ---------- -----------------------

VBA32                     Dangereux  suspected of GZIP.MailBomb
Qihoo-360                 Normal
Avast                     Normal
Ad-Aware                  Normal
Bkav                      Normal
Antiy-AVL                 Normal
Ikarus                    Normal
Kingsoft                  Normal
AegisLab                  Normal
Baidu-International       Normal
AhnLab-V3                 Normal
Panda                     Normal
Rising                    Normal
nProtect                  Normal
K7AntiVirus               Normal
TrendMicro-HouseCall      Normal
Emsisoft                  Normal
Comodo                    Normal
CAT-QuickHeal             Normal
K7GW                      Normal
SUPERAntiSpyware          Normal
ALYac                     Normal
McAfee-GW-Edition         Normal
DrWeb                     Normal
Baidu                     Normal
TrendMicro                Normal
Microsoft                 Normal
Kaspersky                 Normal
ViRobot                   Normal
Tencent                   Normal
MicroWorld-eScan          Normal
Fortinet                  Normal
Zoner                     Normal
TotalDefense              Normal
Arcabit                   Normal
Jiangmin                  Normal
McAfee                    Normal
Cyren                     Normal
NANO-Antivirus            Normal
ClamAV                    Normal
Alibaba                   Normal
F-Secure                  Normal
VIPRE                     Normal
Yandex                    Normal
Avira                     Normal
F-Prot                    Normal
AVG                       Normal
Zillya                    Normal
Sophos                    Normal
GData                     Normal
Symantec                  Normal
AVware                    Normal
Malwarebytes              Normal
TheHacker                 Normal
ESET-NOD32                Normal
BitDefender               Normal
CMC                       Normal
