Resultat pour le fichier generateurs/file_2Go.tar.bz2 :
0334e4bc24a5f23353ac9f5c905b8801545fe3b199e0fb6a7d7b0f5e8e592aff
Ratio de detection : 1/53

Nom Antivirus             Statut     Complement
---------------------     ---------- -----------------------

VBA32                     Dangereux  suspected of BZIP2.MailBomb
Qihoo-360                 Normal
Avast                     Normal
Ad-Aware                  Normal
Bkav                      Normal
Antiy-AVL                 Normal
Ikarus                    Normal
Kingsoft                  Normal
AegisLab                  Normal
Baidu-International       Normal
AhnLab-V3                 Normal
Panda                     Normal
Rising                    Normal
nProtect                  Normal
K7AntiVirus               Normal
TrendMicro-HouseCall      Normal
Comodo                    Normal
Emsisoft                  Normal
CAT-QuickHeal             Normal
K7GW                      Normal
SUPERAntiSpyware          Normal
DrWeb                     Normal
Baidu                     Normal
TrendMicro                Normal
Microsoft                 Normal
Kaspersky                 Normal
ViRobot                   Normal
MicroWorld-eScan          Normal
Tencent                   Normal
Fortinet                  Normal
Zoner                     Normal
TotalDefense              Normal
Arcabit                   Normal
Jiangmin                  Normal
Cyren                     Normal
NANO-Antivirus            Normal
Alibaba                   Normal
ClamAV                    Normal
F-Secure                  Normal
VIPRE                     Normal
Yandex                    Normal
F-Prot                    Normal
AVG                       Normal
Zillya                    Normal
Sophos                    Normal
GData                     Normal
Symantec                  Normal
AVware                    Normal
Malwarebytes              Normal
TheHacker                 Normal
ESET-NOD32                Normal
BitDefender               Normal
CMC                       Normal
