Resultat pour le fichier generateurs/file_350Mo.tar.bz2 :
af47c79288c64b92179982a85cad228bc22625a1879482c3d3f5020975ff40a6
Ratio de detection : 1/56

Nom Antivirus             Statut     Complement
---------------------     ---------- -----------------------

VBA32                     Dangereux  suspected of BZIP2.MailBomb
Qihoo-360                 Normal
Avast                     Normal
Ad-Aware                  Normal
Bkav                      Normal
Antiy-AVL                 Normal
Ikarus                    Normal
Kingsoft                  Normal
AegisLab                  Normal
Baidu-International       Normal
AhnLab-V3                 Normal
Rising                    Normal
Panda                     Normal
nProtect                  Normal
K7AntiVirus               Normal
TrendMicro-HouseCall      Normal
Comodo                    Normal
Emsisoft                  Normal
CAT-QuickHeal             Normal
K7GW                      Normal
SUPERAntiSpyware          Normal
McAfee-GW-Edition         Normal
DrWeb                     Normal
Baidu                     Normal
TrendMicro                Normal
ViRobot                   Normal
Microsoft                 Normal
Kaspersky                 Normal
MicroWorld-eScan          Normal
Tencent                   Normal
Fortinet                  Normal
Zoner                     Normal
TotalDefense              Normal
Arcabit                   Normal
Jiangmin                  Normal
Cyren                     Normal
McAfee                    Normal
NANO-Antivirus            Normal
Alibaba                   Normal
ClamAV                    Normal
F-Secure                  Normal
VIPRE                     Normal
Yandex                    Normal
Avira                     Normal
F-Prot                    Normal
AVG                       Normal
Zillya                    Normal
Sophos                    Normal
GData                     Normal
Symantec                  Normal
AVware                    Normal
Malwarebytes              Normal
TheHacker                 Normal
ESET-NOD32                Normal
BitDefender               Normal
CMC                       Normal
