Resultat pour le fichier generateurs/file_1Go.tar.gz :
58dca8a9b613b17f38305a78b02f0b3a9983fdbcf421abfb3420959b24e63135
Ratio de detection : 1/55

Nom Antivirus             Statut     Complement
---------------------     ---------- -----------------------

VBA32                     Dangereux  suspected of GZIP.MailBomb
Qihoo-360                 Normal
Avast                     Normal
Ad-Aware                  Normal
Bkav                      Normal
Antiy-AVL                 Normal
Ikarus                    Normal
Kingsoft                  Normal
AegisLab                  Normal
Baidu-International       Normal
AhnLab-V3                 Normal
Rising                    Normal
Panda                     Normal
nProtect                  Normal
K7AntiVirus               Normal
TrendMicro-HouseCall      Normal
Comodo                    Normal
Emsisoft                  Normal
CAT-QuickHeal             Normal
K7GW                      Normal
ALYac                     Normal
SUPERAntiSpyware          Normal
McAfee-GW-Edition         Normal
DrWeb                     Normal
Baidu                     Normal
TrendMicro                Normal
Microsoft                 Normal
ViRobot                   Normal
Kaspersky                 Normal
MicroWorld-eScan          Normal
Tencent                   Normal
Fortinet                  Normal
Zoner                     Normal
TotalDefense              Normal
Arcabit                   Normal
Jiangmin                  Normal
McAfee                    Normal
NANO-Antivirus            Normal
Alibaba                   Normal
ClamAV                    Normal
F-Secure                  Normal
VIPRE                     Normal
Yandex                    Normal
Avira                     Normal
AVG                       Normal
Zillya                    Normal
Sophos                    Normal
GData                     Normal
Symantec                  Normal
AVware                    Normal
Malwarebytes              Normal
TheHacker                 Normal
ESET-NOD32                Normal
BitDefender               Normal
CMC                       Normal
